workspace,direction,force_n,torque_nm,elapsed_s,trial_elapsed_s,degree_deg,cmX_cm,setspeed_cm_s,energy_j,theta_dot_rad_s,theta_rad,x_center_cm,mode,cart_force_cmd_n,hinge_total_torque_nm,external_disturbance_torque_nm
ros2_pendulum_ws,positive,0.1000,0.040000,18.765,4.187,0.186263,-6.471350,-0.018940,0.784797979,-0.003636953,0.003250896,-2.467264,7,-0.013532499,-0.002341246,0.040000000
ros2_pendulum_ws,positive,0.1000,0.040000,18.816,4.237,0.176213,-6.330755,-0.019029,0.784798191,-0.003420162,0.003075490,-2.423719,7,-0.013590982,-0.002263857,0.040000000
ros2_pendulum_ws,positive,0.1000,0.040000,18.866,4.288,0.166765,-6.192807,-0.019250,0.784798379,-0.003214599,0.002910603,-2.381411,7,-0.013750234,-0.002194994,0.040000000
ros2_pendulum_ws,positive,0.1000,0.040000,18.917,4.339,0.157879,-6.057521,-0.019083,0.784798547,-0.003025145,0.002755507,-2.339282,7,-0.013583261,-0.002120703,0.040000000
ros2_pendulum_ws,positive,0.1000,0.040000,18.968,4.390,0.149523,-5.924884,-0.019027,0.784798696,-0.002844792,0.002609670,-2.298005,7,-0.013590674,-0.002045376,0.040000000
ros2_pendulum_ws,positive,0.1000,0.040000,19.019,4.441,0.141659,-5.794888,-0.018898,0.784798829,-0.002676591,0.002472422,-2.257137,7,-0.013532732,-0.001995797,0.040000000
ros2_pendulum_ws,positive,0.1000,0.040000,19.072,4.493,0.134253,-5.667500,-0.018659,0.784798948,-0.002520903,0.002343162,-2.216286,7,-0.013327903,-0.001916583,0.040000000
ros2_pendulum_ws,positive,0.1000,0.040000,19.122,4.544,0.127298,-5.542694,-0.018698,0.784799054,-0.002368605,0.002221773,-2.177085,7,-0.013404748,-0.001879817,0.040000000
ros2_pendulum_ws,positive,0.1000,0.040000,19.173,4.594,0.120751,-5.420482,-0.018563,0.784799148,-0.002229229,0.002107502,-2.138607,7,-0.013310327,-0.001829129,0.040000000
ros2_pendulum_ws,positive,0.1000,0.040000,19.224,4.645,0.114594,-5.300843,-0.018443,0.784799233,-0.002094503,0.002000048,-2.100881,7,-0.013419156,-0.001785677,0.040000000
