workspace,direction,force_n,torque_nm,elapsed_s,trial_elapsed_s,degree_deg,cmX_cm,setspeed_cm_s,energy_j,theta_dot_rad_s,theta_rad,x_center_cm,mode,cart_force_cmd_n,hinge_total_torque_nm,external_disturbance_torque_nm
ros2_pendulum_ws,positive,2.1000,0.840000,21.668,1.056,11.360464,-32.995056,20.752187,0.777130868,-0.068976851,0.198277507,2.697330,7,4.509304756,0.629871498,0.840000000
ros2_pendulum_ws,positive,2.1000,0.840000,21.719,1.107,11.093589,-31.430479,28.000000,0.777485334,-0.066410905,0.193619650,2.697330,7,20.000000000,0.228044065,0.840000000
ros2_pendulum_ws,positive,2.1000,0.840000,21.769,1.157,12.118664,-29.211642,-13.628485,0.776089438,-0.092345856,0.211510593,2.697330,7,-29.343500296,-1.092859645,0.840000000
ros2_pendulum_ws,positive,2.1000,0.840000,21.820,1.208,12.635244,-30.903647,-1.835772,0.775300009,0.027378550,0.220526612,2.697330,7,-1.610181844,0.098459687,0.840000000
ros2_pendulum_ws,positive,2.1000,0.840000,21.871,1.259,12.603974,-32.902000,25.895432,0.775433287,0.149573202,0.219980853,2.697330,7,8.448984449,0.359478457,0.840000000
ros2_pendulum_ws,positive,2.1000,0.840000,21.922,1.310,12.161299,-32.610421,28.000000,0.776364747,-0.304477616,0.212254711,2.697330,7,20.000000000,0.615366336,0.840000000
ros2_pendulum_ws,positive,2.1000,0.840000,21.973,1.361,12.725535,-29.601753,-14.823971,0.778955994,0.974002502,0.222102476,2.697330,7,-41.052322949,-1.201827496,0.840000000
ros2_pendulum_ws,positive,2.1000,0.840000,22.025,1.413,13.498240,-30.309515,-15.574707,0.774213039,0.251131913,0.235588738,2.697330,7,-11.124790951,-0.563718299,0.840000000
ros2_pendulum_ws,positive,2.1000,0.840000,22.076,1.464,13.333235,-32.627493,10.736288,0.774261745,-0.098466344,0.232708845,2.697330,7,12.720946570,0.468317462,0.840000000
ros2_pendulum_ws,positive,2.1000,0.840000,22.127,1.515,13.220523,-33.400020,28.000000,0.774429895,0.086102759,0.230741662,2.697330,7,20.000000000,-0.151168272,0.840000000
ros2_pendulum_ws,positive,2.1000,0.840000,22.178,1.566,12.694659,-31.200234,28.000000,0.775641306,-0.329207448,0.221563593,2.697330,7,20.000000000,0.876781659,0.840000000
ros2_pendulum_ws,positive,2.1000,0.840000,22.229,1.617,13.642468,-28.548872,-14.896912,0.773806699,-0.139372685,0.238105992,2.697330,7,-10.640651484,-0.602798682,0.840000000
ros2_pendulum_ws,positive,2.1000,0.840000,22.279,1.667,14.239786,-30.276377,-6.245032,0.772760414,0.065177274,0.248531151,2.697330,7,-1.941794677,0.171298689,0.840000000
ros2_pendulum_ws,positive,2.1000,0.840000,22.330,1.718,14.048721,-32.936797,12.818288,0.773085788,-0.075177319,0.245196443,2.697330,7,7.027770930,0.186757659,0.840000000
ros2_pendulum_ws,positive,2.1000,0.840000,22.381,1.769,14.067508,-33.558769,28.000000,0.773094710,-0.125280600,0.245524328,2.697330,7,20.000000000,-0.862076563,0.840000000
ros2_pendulum_ws,positive,2.1000,0.840000,22.433,1.821,13.070018,-31.734979,28.000000,0.776752733,-0.727680558,0.228114846,2.697330,7,20.000000000,1.810842861,0.840000000
ros2_pendulum_ws,positive,2.1000,0.840000,22.483,1.871,14.263267,-29.884149,-26.009794,0.772892320,0.217075298,0.248940970,2.697330,7,-13.480999916,0.257175810,0.840000000
ros2_pendulum_ws,positive,2.1000,0.840000,22.535,1.923,14.756151,-31.970787,13.002091,0.771858237,-0.005889216,0.257543424,2.697330,7,9.287208110,-0.021513524,0.840000000
ros2_pendulum_ws,positive,2.1000,0.840000,22.586,1.974,14.479439,-33.622486,8.329848,0.772728150,-0.312962848,0.252713889,2.697330,7,5.949891736,0.731883611,0.840000000
ros2_pendulum_ws,positive,2.1000,0.840000,22.637,2.025,14.042055,-33.465590,28.000000,0.773172780,0.156937298,0.245080086,2.697330,7,20.000000000,-0.369921805,0.840000000
ros2_pendulum_ws,positive,2.1000,0.840000,22.687,2.075,13.880140,-30.466414,13.767634,0.773344825,-0.027501867,0.242254142,2.697330,7,-31.617021495,0.082340397,0.840000000
ros2_pendulum_ws,positive,2.1000,0.840000,22.738,2.126,14.863324,-28.807542,-16.819618,0.771671030,0.011683813,0.259413936,2.697330,7,-17.729505678,-0.205903467,0.840000000
ros2_pendulum_ws,positive,2.1000,0.840000,22.789,2.177,15.293048,-31.288540,12.223942,0.770931868,0.082122396,0.266914038,2.697330,7,-1.454706970,0.099251482,0.840000000
