workspace,elapsed_s,degree_deg,cmX_cm,setspeed_cm_s,energy_j,theta_dot_rad_s,theta_rad,x_center_cm,mode,cart_velocity_cmd_mps,cart_force_cmd_n,hinge_assist_torque_nm,external_force_n,note
real,6.066,7.943304,-6.037025,3.756218,0.781342373,-0.277188320,0.138636811,0.000000,6,0.037562183,2.683013087,0.000000000,0.000000,swing_up
real,6.096,7.393871,-5.699049,3.518625,0.782005152,-0.342046773,0.129047393,0.000000,6,0.035186247,2.513303385,0.000000000,0.000000,swing_up
real,6.116,6.967553,-5.379264,3.334620,0.782489491,-0.383197603,0.121606745,0.000000,6,0.034291962,2.449425839,0.000000000,0.000000,swing_up
real,6.137,6.495617,-4.988228,3.130524,0.782994934,-0.422475201,0.113369904,0.000000,6,0.031305237,2.236088346,0.000000000,0.000000,swing_up
real,6.157,5.980373,-4.530122,2.906784,0.783509650,-0.459681955,0.104377191,0.000000,6,0.029067839,2.076274206,0.000000000,0.000000,swing_up
real,6.178,5.424239,-4.009482,2.652618,0.784022251,-0.494821492,0.094670822,0.000000,6,0.026526182,1.894727314,0.000000000,0.000000,swing_up
real,6.198,4.830099,-3.431345,2.391848,0.784518158,-0.527177130,0.084301134,0.000000,6,0.025286334,1.806166747,0.000000000,0.000000,swing_up
real,6.219,4.201350,-2.801253,2.123879,0.784984337,-0.556509948,0.073327391,0.000000,6,0.021238791,1.517056506,0.000000000,0.000000,swing_up
real,6.240,3.541273,-2.124937,1.822344,0.785410628,-0.583071870,0.061806868,0.000000,6,0.018223444,1.301674575,0.000000000,0.000000,swing_up
real,6.260,2.853562,-1.408539,1.505446,0.785783232,-0.606175453,0.049804052,0.000000,6,0.015054457,1.075318364,0.000000000,0.000000,swing_up
real,6.290,1.779664,-0.273355,1.001401,0.786216613,-0.633618302,0.031060993,0.000000,6,0.010014007,0.715286208,0.000000000,0.000000,swing_up
real,6.311,1.042359,0.513601,0.645343,0.786407455,-0.646604591,0.018192593,0.000000,6,0.006453425,0.460958950,0.000000000,0.000000,swing_up
real,6.332,0.294069,1.316043,0.275983,0.786510183,-0.654857111,0.005132465,0.000000,6,0.002759833,0.197130942,0.000000000,0.000000,swing_up
real,6.352,-0.459129,2.126057,-0.757109,0.786514598,-0.657114195,-0.008013317,0.000000,6,-0.007571089,-0.540792039,0.000000000,0.000000,swing_up
