workspace,elapsed_s,degree_deg,cmX_cm,setspeed_cm_s,energy_j,theta_dot_rad_s,theta_rad,x_center_cm,mode,cart_force_cmd_n,hinge_assist_torque_nm
real_balance_only_noassist,6.037,-48.807383,-37.550638,44.177764,0.656146376,1.152679290,-0.851849529,0.000000,6,26.949968400,0.000000000
real_balance_only_noassist,6.090,-53.375187,-30.597230,77.072533,0.682800131,-3.751835760,-0.931572759,0.000000,6,55.051809150,0.000000000
real_balance_only_noassist,6.141,-67.459547,-19.597230,86.881200,0.665069761,-5.528310250,-1.177391201,0.000000,6,62.057999937,0.000000000
real_balance_only_noassist,6.192,-85.998858,-8.597230,54.577700,0.623869592,-7.142992156,-1.500963221,0.000000,6,38.984071287,0.000000000
real_balance_only_noassist,6.243,-109.241854,2.402770,48.177587,0.570923416,-8.772704163,-1.906630033,0.000000,6,34.412561787,0.000000000
real_balance_only_noassist,6.294,-136.766838,13.402770,80.280713,0.516357609,-10.122368549,-2.387031633,0.000000,6,57.343366587,0.000000000
real_balance_only_noassist,6.351,-167.128418,24.402770,44.666980,0.477286438,-10.810020039,-2.916941163,0.000000,6,37.118010836,0.000000000
real_balance_only_noassist,6.406,161.483003,35.622770,9.582915,0.465536967,-10.550144747,2.818410089,0.000000,6,6.844939437,0.000000000
real_balance_only_noassist,6.456,119.654381,38.995818,-22.245698,1.294430178,-16.554279750,2.088362914,0.000000,6,-15.889784164,0.000000000
real_balance_only_noassist,6.507,75.409290,37.967932,-54.456448,1.336342949,-14.535237382,1.316140396,0.000000,6,-38.897462913,0.000000000
real_balance_only_noassist,6.559,39.013013,33.236092,-28.000000,1.218491926,-11.414858106,0.680905520,0.000000,6,-20.000000000,0.000000000
real_balance_only_noassist,6.611,6.191911,28.058375,20.512498,1.714380369,-15.263269238,0.108069230,0.000000,6,162.356253999,0.000000000
real_balance_only_noassist,6.662,-50.322572,34.561983,-93.717979,1.997032080,-18.399039032,-0.878294572,0.000000,6,-66.941413863,0.000000000
real_balance_only_noassist,6.712,-97.159384,29.857609,-125.780847,1.374647357,-16.055778824,-1.695751153,0.000000,6,-85.158621663,0.000000000
real_balance_only_noassist,6.765,-145.317012,18.857609,-158.554661,1.258726164,-17.240952691,-2.536260324,0.000000,6,-113.253329463,0.000000000
real_balance_only_noassist,6.817,164.893131,7.857609,-191.112613,1.205469353,-17.262014342,2.877928058,0.000000,6,-136.509009513,0.000000000
real_balance_only_noassist,6.868,117.546647,-3.142391,-210.000000,1.215485350,-15.847387955,2.051576018,0.000000,6,-150.000000000,0.000000000
real_balance_only_noassist,6.920,75.675708,-14.142391,-164.598527,1.244020384,-13.734416321,1.320790267,0.000000,6,-73.624074598,0.000000000
real_balance_only_noassist,6.971,36.350741,-22.663548,-139.412347,1.667005910,-15.480354537,0.634440119,0.000000,6,48.982223397,0.000000000
real_balance_only_noassist,7.023,1.052821,-29.427476,-86.969626,1.122126620,-9.184128498,0.018375188,0.000000,6,68.846238003,0.000000000
real_balance_only_noassist,7.074,-46.480750,-29.902377,-112.792406,2.746520354,-22.824955648,-0.811242120,0.000000,6,6.871566000,0.000000000
real_balance_only_noassist,7.127,-113.116925,-25.959862,-111.621004,2.496323274,-23.759119165,-1.974262787,0.000000,6,-84.402123000,0.000000000
real_balance_only_noassist,7.180,170.692234,-36.011811,-78.970609,2.927139426,-27.027638681,2.979141497,0.000000,6,-56.407577550,0.000000000
real_balance_only_noassist,7.230,111.220698,-38.494221,-25.770747,1.508067217,-17.732039159,1.941167380,0.000000,6,0.000000000,0.000000000
real_balance_only_noassist,7.290,56.195440,-36.429791,-9.262188,1.485353935,-14.787136171,0.980795453,0.000000,6,-11.093009550,0.000000000
real_balance_only_noassist,7.341,14.896574,-34.392260,16.481967,1.702268683,-15.253333053,0.259994263,0.000000,6,7.236932700,0.000000000
real_balance_only_noassist,7.392,-31.991590,-28.405759,48.587119,1.959248555,-17.564480940,-0.558358574,0.000000,6,30.101016000,0.000000000
real_balance_only_noassist,7.444,-87.733053,-18.215777,80.928946,2.057879142,-20.309835151,-1.531230636,0.000000,6,57.806389650,0.000000000
real_balance_only_noassist,7.495,-148.000413,-7.215777,48.807030,1.898013219,-21.438218158,-2.583094504,0.000000,6,34.862164050,0.000000000
real_balance_only_noassist,7.545,150.635202,3.784223,16.851828,1.838216154,-21.141184567,2.629080246,0.000000,6,16.547715750,0.000000000
real_balance_only_noassist,7.596,93.002767,14.784223,-15.544426,1.855522792,-19.259272738,1.623204499,0.000000,6,-6.449121150,0.000000000
real_balance_only_noassist,7.648,41.997526,25.304953,-47.714301,1.782836830,-16.574192752,0.732995100,0.000000,6,-34.081643850,0.000000000
real_balance_only_noassist,7.699,1.382310,32.167669,-34.035778,1.598586956,-14.264476418,0.024125867,0.000000,6,20.604553501,0.000000000
real_balance_only_noassist,7.750,-38.171026,38.739500,-68.133152,1.255667368,-11.776825233,-0.666210084,0.000000,6,-61.584241650,0.000000000
real_balance_only_noassist,7.801,-63.137533,35.022604,-28.000000,0.804520753,-7.661831561,-1.101957840,0.000000,6,-20.000000000,0.000000000
real_balance_only_noassist,7.852,-86.250375,26.583392,49.194212,0.730127812,-8.832697539,-1.505353017,0.000000,6,103.995855998,0.000000000
real_balance_only_noassist,7.904,-113.185794,32.609126,-28.237108,0.604421894,-9.572294248,-1.975464769,0.000000,6,-20.569058004,0.000000000
real_balance_only_noassist,7.956,-150.723008,37.403043,-144.134476,1.249890677,-17.318831840,-2.630612743,0.000000,6,-102.953197050,0.000000000
real_balance_only_noassist,8.007,145.298525,27.457922,-176.539530,2.138983499,-22.744158977,2.535937663,0.000000,6,-121.405552800,0.000000000
real_balance_only_noassist,8.057,83.353891,16.457922,-195.457391,2.154357169,-20.715586830,1.454799837,0.000000,6,-144.257850600,0.000000000
real_balance_only_noassist,8.108,27.573355,5.457922,-163.471258,2.144449204,-18.736451200,0.481245836,0.000000,6,-121.305327900,0.000000000
real_balance_only_noassist,8.159,-24.684050,-5.542078,-131.416573,2.063597818,-18.129075930,-0.430817946,0.000000,6,-93.868980900,0.000000000
real_balance_only_noassist,8.210,-77.787157,-16.542078,-99.012223,1.915920765,-18.977031795,-1.357641997,0.000000,6,-75.356659950,0.000000000
real_balance_only_noassist,8.263,-134.378933,-27.542078,-66.292835,1.757020581,-20.242686176,-2.345354834,0.000000,6,-47.352025050,0.000000000
real_balance_only_noassist,8.315,166.952150,-38.542078,0.000000,1.675345908,-20.403522186,2.913864719,0.000000,6,0.000000000,0.000000000
real_balance_only_noassist,8.366,132.588059,-38.722939,0.000000,0.606074012,-10.945546353,2.314098182,0.000000,6,0.000000000,0.000000000
real_balance_only_noassist,8.418,105.139212,-37.248184,31.445928,0.578373922,-8.491983694,1.835025430,0.000000,6,22.461376800,0.000000000
