workspace,elapsed_s,degree_deg,cmX_cm,setspeed_cm_s,energy_j,theta_dot_rad_s,theta_rad,x_center_cm,mode,cart_velocity_cmd_mps,cart_force_cmd_n,hinge_assist_torque_nm,external_force_n,note
pid,4.661,168.728615,-8.632408,-5.087020,0.009199767,0.638613994,2.944869867,0.000000,6,-0.050870204,-3.633585991,0.000000000,0.000000,swing_up
pid,4.682,169.477715,-10.121308,-11.571388,0.007944414,0.580042387,2.957944131,0.000000,6,-0.115713875,-8.265276791,0.000000000,0.000000,swing_up
pid,4.702,169.904630,-11.654114,-5.389581,0.006496148,0.324328330,2.965395205,0.000000,6,-0.053895808,-3.849700571,0.000000000,0.000000,swing_up
pid,4.723,170.185831,-13.510224,1.125204,0.005956583,0.231362155,2.970303095,0.000000,6,0.011252038,0.803716988,0.000000000,0.000000,swing_up
pid,4.744,170.577548,-15.287518,7.432143,0.005978867,0.413714727,2.977139840,0.000000,6,0.074321435,5.308673928,0.000000000,0.000000,swing_up
pid,4.764,171.392232,-16.927505,13.774384,0.007332129,0.853254636,2.991358763,0.000000,6,0.137743837,9.838845509,0.000000000,0.000000,swing_up
pid,4.794,173.910023,-18.768851,23.085546,0.017071889,1.927264076,3.035302507,0.000000,6,0.230855456,16.489675408,0.000000000,0.000000,swing_up
pid,4.815,176.948716,-19.469485,29.376954,0.035483425,2.954958356,3.088337706,0.000000,6,0.293769541,20.983538629,0.000000000,0.000000,swing_up
pid,4.836,-178.650583,-19.538978,35.806617,0.070621295,4.198585191,-3.118040887,0.000000,6,0.358066173,25.576155229,0.000000000,0.000000,swing_up
pid,4.857,-172.664291,-18.836719,42.305999,0.130077547,5.631735415,-3.013560371,0.000000,6,0.423059994,30.218571029,0.000000000,0.000000,swing_up
pid,4.878,-164.933612,-17.232406,48.774663,0.219689856,7.179854083,-2.878634577,0.000000,6,0.487746632,34.839045128,0.000000000,0.000000,swing_up
pid,4.899,-155.390546,-14.605431,48.818181,0.342753623,8.762290131,-2.712076648,0.000000,6,0.488181814,34.870129589,0.000000000,0.000000,swing_up
pid,4.920,-144.259413,-10.933223,42.294125,0.474335381,10.005431931,-2.517801738,0.000000,6,0.422941254,30.210089589,0.000000000,0.000000,swing_up
