workspace,phase,elapsed_s,degree_deg,cmX_cm,setspeed_cm_s,energy_j,theta_dot_rad_s,theta_rad,x_center_cm,mode,cart_velocity_cmd_mps,cart_force_cmd_n,hinge_assist_torque_nm,note
pendulum_real_ws,BALANCE,12.776,0.526393,-15.659362,-9.493641,0.786542984,-0.663239037,0.009187286,-6.851041,7,-0.094936414,150.000000000,2.081022134,manual_A_near_upright
pendulum_real_ws,BALANCE,12.828,-1.275666,-11.258184,4.789738,0.816435585,2.816595450,-0.022264571,-6.851041,7,0.047897382,-150.000000000,-6.000000000,manual_A_near_upright
pendulum_real_ws,BALANCE,12.880,-1.473343,-13.632031,19.370468,0.805929119,-2.305365928,-0.025714692,-6.826355,7,0.193704680,150.000000000,6.000000000,manual_A_near_upright
pendulum_real_ws,BALANCE,12.932,1.887601,-11.024071,-24.459135,0.787884707,0.907969710,0.032944861,-6.826355,7,-0.244591346,-45.345803335,-6.000000000,manual_A_near_upright
pendulum_real_ws,BALANCE,12.985,-1.598761,-11.842512,19.669378,0.787668745,0.869122983,-0.027903637,-6.826355,7,0.196693778,-150.000000000,2.666258419,manual_A_near_upright
pendulum_real_ws,BALANCE,13.039,-0.397285,-13.706292,6.362624,0.809475438,-2.484193589,-0.006933939,-6.826355,7,0.063626242,150.000000000,6.000000000,manual_A_near_upright
pendulum_real_ws,BALANCE,13.089,1.153130,-9.668973,-38.638770,0.795696854,1.656526653,0.020125913,-6.826355,7,-0.386387700,-150.000000000,-5.391451899,manual_A_near_upright
pendulum_real_ws,BALANCE,13.140,-1.958625,-11.315341,3.828561,0.785095780,-0.362295735,-0.034184450,-6.826355,7,0.038285612,-45.931616477,1.313176378,manual_A_near_upright
pendulum_real_ws,BALANCE,13.193,0.993692,-11.153177,-10.488455,0.795243174,-1.620353900,0.017343204,-6.826355,7,-0.104884548,150.000000000,5.107088062,manual_A_near_upright
pendulum_real_ws,BALANCE,13.244,0.759505,-9.393867,-25.849955,0.813214558,2.666881756,0.013255860,-6.801710,7,-0.258499548,-150.000000000,-6.000000000,manual_A_near_upright
pendulum_real_ws,BALANCE,13.296,0.170329,-15.436659,15.946803,0.788894415,-1.011947256,0.002972811,-6.777092,7,0.159468030,150.000000000,3.224853572,manual_A_near_upright
pendulum_real_ws,BALANCE,13.348,3.200511,-10.775632,-26.426367,0.827252699,3.281186461,0.055859455,-6.751402,7,-0.264263670,-150.000000000,-6.000000000,manual_A_near_upright
pendulum_real_ws,BALANCE,13.400,-0.563444,-16.788083,16.339878,0.797606754,-1.790651236,-0.009833952,-6.751402,7,0.163398782,150.000000000,5.774336742,manual_A_near_upright
pendulum_real_ws,BALANCE,13.452,1.831682,-14.822467,-27.997201,0.785382809,-0.442524040,0.031968883,-6.725878,7,-0.279972006,127.957849407,1.272216954,manual_A_near_upright
pendulum_real_ws,BALANCE,13.505,0.666249,-11.414848,-14.449417,0.814478950,2.725136630,0.011628241,-6.725878,7,-0.144494174,-150.000000000,-6.000000000,manual_A_near_upright
pendulum_real_ws,BALANCE,13.557,0.782602,-15.207732,1.082514,0.801250851,-2.030237346,0.013658986,-6.700506,7,0.010825144,150.000000000,6.000000000,manual_A_near_upright
pendulum_real_ws,BALANCE,13.609,3.354635,-14.909351,-14.324257,0.784772560,0.401543458,0.058549432,-6.677999,7,-0.143242574,45.254181114,-1.548411509,manual_A_near_upright
pendulum_real_ws,BALANCE,13.660,0.039751,-15.997907,1.408413,0.785022156,0.235717310,0.000693793,-6.652628,7,0.014084134,-123.830017609,-0.757417461,manual_A_near_upright
pendulum_real_ws,BALANCE,13.712,1.898933,-19.858602,-13.667667,0.816858090,-2.840492174,0.033142634,-6.652628,7,-0.136676672,150.000000000,6.000000000,manual_A_near_upright
pendulum_real_ws,BALANCE,13.764,2.060260,-17.343515,-28.604901,0.805371181,2.281712111,0.035958326,-6.630436,7,-0.286049014,-150.000000000,-6.000000000,manual_A_near_upright
pendulum_real_ws,BALANCE,13.817,-1.367272,-19.854701,14.861446,0.788225270,-0.940344820,-0.023863401,-6.630436,7,0.148614460,150.000000000,6.000000000,manual_A_near_upright
pendulum_real_ws,BALANCE,13.868,2.260267,-18.445191,-28.246541,0.786387951,-0.687975986,0.039449101,-6.630436,7,-0.282465406,150.000000000,2.024002200,manual_A_near_upright
pendulum_real_ws,BALANCE,13.920,0.846523,-15.906140,-13.957294,0.808253206,2.423635358,0.014774621,-6.630436,7,-0.139572936,-150.000000000,-3.569654989,manual_A_near_upright
pendulum_real_ws,BALANCE,13.973,-0.622398,-18.670778,30.331188,0.789238184,-1.056093770,-0.010862895,-6.605933,7,0.303311884,114.816882965,3.428383091,manual_A_near_upright
pendulum_real_ws,BALANCE,14.024,1.997208,-16.967200,-11.575962,0.784561640,-0.001781184,0.034857861,-6.581766,7,-0.115759622,90.830636027,-0.151160585,manual_A_near_upright
pendulum_real_ws,BALANCE,14.076,-0.196320,-15.731306,1.915498,0.798054839,1.820517987,-0.003426430,-6.557747,7,0.019154976,-150.000000000,-5.810238624,manual_A_near_upright
pendulum_real_ws,BALANCE,14.128,-1.051754,-17.995689,16.922449,0.811464303,-2.585073203,-0.018356567,-6.534784,7,0.169224490,150.000000000,6.000000000,manual_A_near_upright
